episode,score
1,8.4
2,8.0
3,7.9
4,8.1
5,8.0
6,7.8
7,8.4
8,8.0
9,7.8
10,8.2
11,7.8
12,8.8
13,7.8
14,8.0
15,8.0
16,8.0
17,8.1
18,8.5
19,8.2
20,7.8
21,8.2
22,8.1
23,8.6
24,8.3
25,8.2
26,7.8
27,8.2
28,8.1
29,7.8
30,8.1
31,7.6
32,8.2
33,8.0
34,8.2
35,8.2
36,8.2
37,8.3
38,7.9
39,8.1
40,8.4
41,8.0
42,8.3
43,8.0
44,7.9
45,8.0
46,7.8
47,8.8
48,8.4
49,8.1
50,8.3
51,7.9
52,7.9
53,7.9
54,8.6
55,8.1
56,8.4
57,8.1
58,7.8
59,8.4
60,8.2
61,7.8
62,8.3
63,8.0
64,8.5
65,7.7
66,7.8
67,8.0
68,8.4
69,7.9
70,8.1
71,7.8
72,8.2
73,7.8
74,8.0
75,7.7
76,7.7
77,7.9
78,8.4
79,8.0
80,8.1
81,7.8
82,7.9
83,8.7
84,7.8
85,7.8
86,7.9
87,8.0
88,7.9
89,7.8
90,7.8
91,8.2
92,8.3
93,7.9
94,7.9
95,8.2
96,8.4
97,8.0
98,8.0
99,8.0
100,8.1
101,8.0
102,7.9
103,7.8
104,8.6
105,8.1
106,8.2
107,8.2
108,8.0
109,8.3
110,8.1
111,8.0
112,8.0
113,8.8
114,7.9
115,8.0
116,8.0
117,7.9
118,8.1
119,7.9
120,7.7
121,8.1
122,8.1
123,7.9
124,8.6
125,7.8
126,7.8
127,8.2
128,7.7
129,8.1
130,7.8
131,8.3
132,7.8
133,7.7
134,8.8
135,8.0
136,8.3
137,7.8
138,7.8
139,8.4
140,8.3
141,8.0
142,7.9
143,7.8
144,7.8
145,8.1
146,8.1
147,8.8
148,8.0
149,8.1
150,8.1
151,8.0
152,8.0
153,7.7
154,7.8
155,7.8
156,7.6
157,8.3
158,7.9
159,7.7
160,8.2
161,8.0
162,8.6
163,8.1
164,8.0
165,8.1
166,7.8
167,8.1
168,7.9
169,7.9
170,8.1
171,7.6
172,7.6
173,7.4
174,7.8
175,7.8
176,8.2
177,7.7
178,5.5
179,5.0
180,5.0
181,5.4
182,5.5
183,5.4
184,5.6
185,6.4
186,6.2
187,5.9
188,6.1
189,5.6
190,6.4
191,6.2
192,6.3
193,6.4
194,5.5
195,5.4
196,6.1
197,5.8
198,6.0
199,6.1
200,5.5
201,6.2
202,6.0
203,6.1
204,6.0
205,6.4
206,6.3
207,5.9
208,6.2
209,6.4
210,6.8
211,6.9
212,6.7
213,6.1
214,5.6
215,6.5
216,6.8
217,6.2
218,6.2
219,6.3
220,6.7
221,6.8
222,6.1
223,6.3
224,6.3
225,6.1
226,5.9
227,5.9
228,6.2
229,6.3
230,6.1
231,6.5
232,6.2
233,6.0
234,6.4
235,6.6
236,6.2
237,6.1
238,6.2
239,6.1
240,6.5
241,6.5
242,6.4
243,7.2
244,7.0
245,5.9
246,6.5
247,5.0
248,5.1
249,5.3
250,5.3
251,5.1
252,5.2
253,5.8
254,5.4
255,5.6
256,5.6
257,5.5
258,5.9
259,5.6
260,5.5
261,3.8
