episode,score
1,7.8
2,7.6
3,7.6
4,7.7
5,8.0
6,8.5
7,8.1
8,7.8
9,7.7
10,8.3
11,8.2
12,8.1
13,8.8
14,7.7
15,8.2
16,8.6
17,7.9
18,7.7
19,8.5
20,7.7
21,8.2
22,8.9
23,8.2
24,7.8
25,8.3
26,8.8
27,8.2
28,8.2
29,7.8
30,8.0
31,8.2
32,8.3
33,7.9
34,8.3
35,8.0
36,7.8
37,8.3
38,8.0
39,8.2
40,7.9
41,7.9
42,7.8
43,8.0
44,8.6
45,9.1
46,8.3
47,7.7
48,7.9
49,8.5
50,9.0
51,7.8
52,7.8
53,8.2
54,7.9
55,8.8
56,7.7
57,8.0
58,8.1
59,7.6
60,8.0
61,7.8
62,7.8
63,7.8
64,7.8
65,8.2
66,8.1
67,8.7
68,9.0
69,8.2
70,8.2
71,8.4
72,7.6
73,8.7
74,7.9
75,8.3
76,7.8
77,8.0
78,7.6
79,8.5
80,8.5
81,7.8
82,7.9
83,8.3
84,8.9
85,8.3
86,8.1
87,8.0
88,8.1
89,8.5
90,8.6
91,8.5
92,8.4
93,8.0
94,9.5
95,8.0
96,7.8
97,8.1
98,7.6
99,8.8
100,8.6
101,8.0
102,8.7
103,8.3
104,9.5
105,7.8
106,7.9
107,7.9
108,8.0
109,8.5
110,8.4
111,8.0
112,9.2
113,8.5
114,8.8
115,7.7
116,7.5
117,8.2
118,8.6
119,8.5
120,7.1
121,8.3
122,7.5
123,8.2
124,7.8
125,8.1
126,8.4
127,6.5
128,9.2
129,8.5
130,9.1
131,8.2
132,8.5
133,8.6
134,8.0
135,7.4
136,8.0
137,8.8
138,8.3
139,8.8
140,8.0
141,8.4
142,8.9
143,9.4
