episode,score
1,8.3
2,8.1
3,8.2
4,8.1
5,8.5
6,8.1
7,9.0
8,8.1
9,8.2
10,8.1
11,8.2
12,8.2
13,8.7
14,8.3
15,8.2
16,8.2
17,8.5
18,8.8
19,8.1
20,7.9
21,7.9
22,8.3
23,8.7
24,8.9
25,8.5
26,8.2
27,8.4
28,8.0
29,8.3
30,8.6
31,9.0
32,8.5
33,8.0
34,8.0
35,8.1
36,8.6
37,8.8
38,9.4
39,8.9
40,8.6
41,8.3
42,8.5
43,8.6
44,8.2
45,8.2
46,9.0
47,8.1
48,8.2
49,8.4
50,9.0
51,8.1
52,8.1
53,8.1
54,9.1
55,8.3
56,8.4
57,9.0
58,8.1
59,8.6
60,8.2
61,8.2
62,7.9
63,8.5
64,9.1
65,8.3
66,8.4
67,8.2
68,8.1
69,8.7
70,8.3
71,8.1
72,8.1
73,8.8
74,9.1
75,8.1
76,8.5
77,8.2
78,8.4
79,8.5
80,8.7
81,9.1
82,7.9
83,8.1
84,8.5
85,9.5
86,8.2
87,8.2
88,8.5
89,8.2
90,8.6
91,8.3
92,8.7
93,8.5
94,7.2
95,8.5
96,8.7
97,9.2
98,8.9
99,9.0
100,8.8
101,8.3
102,8.8
103,8.1
104,8.4
105,9.2
106,9.1
107,8.2
108,9.1
109,8.3
110,8.1
111,9.7
112,8.5
113,8.6
114,8.5
115,8.0
116,8.7
117,8.3
118,8.5
119,8.3
120,8.8
121,9.1
122,8.7
123,8.2
124,8.2
125,8.5
126,8.2
127,8.5
128,8.4
129,8.5
130,9.2
131,8.6
132,8.1
133,8.1
134,8.2
135,8.6
136,8.5
137,8.5
138,9.1
139,8.3
140,8.3
141,7.4
142,8.6
143,9.0
144,8.6
145,8.8
146,9.3
147,8.4
148,8.3
149,8.1
150,8.1
151,8.1
152,8.9
153,8.5
154,8.2
155,8.1
156,8.5
157,8.6
158,8.7
159,8.4
160,8.6
161,8.4
162,8.7
163,8.4
164,8.4
165,8.7
166,8.4
167,7.4
168,8.4
169,8.9
170,9.2
171,8.7
172,9.1
173,8.7
174,9.3
175,8.1
176,8.5
177,7.9
178,8.8
179,9.3
180,8.1
181,8.0
182,8.6
183,8.6
184,8.2
185,8.4
186,8.3
187,8.1
188,8.2
189,7.5
190,8.2
191,8.2
192,8.3
193,8.8
194,8.9
195,8.6
196,8.6
197,8.2
198,8.2
199,8.5
200,8.4
201,8.7
202,8.8
203,8.2
204,7.5
205,8.0
206,8.0
207,8.2
208,8.2
209,8.3
210,8.2
211,8.5
212,8.6
213,8.1
214,8.2
215,8.2
216,7.8
217,8.5
218,8.7
219,8.5
220,8.8
221,8.8
222,8.3
223,8.2
224,8.2
225,8.3
226,8.9
227,8.6
228,8.0
229,9.0
230,8.9
231,8.5
232,8.6
233,8.5
234,8.9
235,9.7
