episode,score
1,9.1
2,8.8
3,8.7
4,8.8
5,9.1
6,9.2
7,9.2
8,9.0
9,9.6
10,9.5
11,8.8
12,8.5
13,8.8
14,8.8
15,8.8
16,9.1
17,8.9
18,8.8
19,9.7
20,9.4
21,8.8
22,8.6
23,8.9
24,9.6
25,9.0
26,8.8
27,8.7
28,9.0
29,9.9
30,9.2
31,9.1
32,9.7
33,8.9
34,8.8
35,8.8
36,9.7
37,9.1
38,9.7
39,9.6
40,9.7
41,8.5
42,8.5
43,8.5
44,8.7
45,8.6
46,8.0
47,9.0
48,9.9
49,9.5
50,9.1
51,8.5
52,9.4
53,8.7
54,9.1
55,9.7
56,8.4
57,8.6
58,8.4
59,9.9
60,9.9
61,8.6
62,8.9
63,9.2
64,9.8
65,8.8
66,9.0
67,9.4
68,7.5
69,7.8
70,7.5
71,5.5
72,6.0
73,4.1
