episode,score
1,8.5
2,8.2
3,8.2
4,8.0
5,8.3
6,8.1
7,7.7
8,8.2
9,8.1
10,9.2
11,8.3
12,8.1
13,8.7
14,8.2
15,9.1
16,7.9
17,7.7
18,8.5
19,8.8
20,7.9
21,8.1
22,8.9
23,8.2
24,8.2
25,8.5
26,8.8
27,8.8
28,8.1
29,9.0
30,8.0
31,9.5
32,8.2
33,8.1
34,8.2
35,8.0
36,8.4
37,8.4
38,8.5
39,8.2
40,8.1
41,8.4
42,8.9
43,8.8
44,8.8
45,8.3
46,7.7
47,8.1
48,7.8
49,9.0
50,8.1
51,8.0
52,9.1
53,9.0
54,8.0
55,8.5
56,8.2
57,8.8
58,8.7
59,8.0
60,8.2
61,8.2
62,8.1
63,7.8
64,8.7
65,8.6
66,8.5
67,7.7
68,8.8
69,8.3
70,8.0
71,7.8
72,8.1
73,9.2
74,8.3
75,8.1
76,8.6
77,8.5
78,8.4
79,8.3
80,7.8
81,8.4
82,7.7
83,8.5
84,7.7
85,8.7
86,8.2
87,7.7
88,8.8
89,8.5
90,8.1
91,8.4
92,8.0
93,7.8
94,7.8
95,7.8
96,9.4
97,8.0
98,8.1
99,7.8
100,9.1
101,8.6
102,8.9
103,8.0
104,7.8
105,8.3
106,8.2
107,7.6
108,7.9
109,7.8
110,8.2
111,8.1
112,8.5
113,8.1
114,8.3
115,7.8
116,8.6
117,7.8
118,7.7
119,7.7
120,8.1
121,8.5
122,9.1
123,8.0
124,8.2
125,8.9
126,8.6
127,8.8
128,8.1
129,7.7
130,8.3
131,8.3
132,7.7
133,7.9
134,7.9
135,7.8
136,8.5
137,8.6
138,8.1
139,8.9
140,8.1
141,7.5
142,7.8
143,7.7
144,7.4
145,8.3
146,9.0
147,8.0
148,8.8
149,7.8
150,7.7
151,7.3
152,8.1
153,8.4
154,8.0
155,8.6
156,8.6
157,8.0
158,7.8
159,8.5
160,8.9
161,8.6
162,7.4
163,7.3
164,7.5
165,7.5
166,7.6
167,7.4
168,7.5
169,7.5
170,8.1
171,8.6
172,9.4
173,7.9
174,7.9
175,8.2
176,7.6
177,7.8
178,8.1
179,8.0
180,8.4
181,7.4
182,8.7
183,7.6
184,8.8
185,7.8
186,7.7
187,7.6
188,7.3
189,7.2
190,7.5
191,7.4
192,7.3
193,8.3
194,6.7
195,5.7
196,7.8
197,8.3
198,5.9
199,8.4
200,9.5
201,8.2
202,8.0
203,7.7
204,8.5
205,8.3
206,8.9
207,6.7
208,5.5
