episode,score
1,8.6
2,8.6
3,8.3
4,8.2
5,8.5
6,8.6
7,8.2
8,7.8
9,8.5
10,8.8
11,9.1
12,8.6
13,8.9
14,9.6
15,8.4
16,8.5
17,9.1
18,8.4
19,8.4
20,8.4
21,8.6
22,8.9
23,8.4
24,8.7
25,8.9
26,9.6
27,8.1
28,8.5
29,8.6
30,8.3
31,8.2
32,9.1
33,8.2
34,8.3
35,8.4
36,8.2
37,9.1
38,8.8
39,9.0
40,8.0
41,8.2
42,8.9
43,9.4
44,8.5
45,8.6
46,8.5
47,8.2
48,8.8
49,9.3
50,8.4
51,8.8
52,9.5
53,8.3
54,8.1
55,8.1
56,8.7
57,8.0
58,7.9
59,8.4
60,8.1
61,8.0
62,8.4
63,8.4
64,9.1
65,8.5
66,4.2
67,4.2
68,4.2
69,4.3
70,4.4
71,4.2
72,3.9
