episode,score
1,8.8
2,8.3
3,8.2
4,8.6
5,8.1
6,8.9
7,8.7
8,8.3
9,9.1
10,8.4
11,8.8
12,9.1
13,9.2
14,8.5
15,8.6
16,8.2
17,8.6
18,8.9
19,9.2
20,8.9
21,8.8
22,8.9
23,9.2
24,8.8
25,9.1
26,9.5
27,8.4
28,8.3
29,9.0
30,8.5
31,9.2
32,8.7
33,8.2
34,8.6
35,8.2
36,8.4
37,8.9
38,9.3
39,8.2
40,8.7
41,9.1
42,8.5
43,8.4
44,8.9
45,8.3
46,8.3
47,8.4
48,8.4
49,8.4
50,8.5
51,9.1
52,8.1
53,8.2
54,9.5
55,9.8
56,7.9
57,8.0
58,9.2
59,9.2
60,9.3
61,9.2
62,9.2
63,9.2
64,9.4
65,9.3
66,9.6
67,9.7
68,8.2
69,8.7
70,8.7
71,6.8
72,9.0
73,9.0
74,9.2
75,9.5
