episode,score
1,8.9
2,8.4
3,8.3
4,8.2
5,8.3
6,8.2
7,8.7
8,8.3
9,8.6
10,8.5
11,8.6
12,9.0
13,9.1
14,8.5
15,8.4
16,8.6
17,8.9
18,8.6
19,9.2
20,8.7
21,8.9
22,9.3
23,8.3
24,8.6
25,8.4
26,8.6
27,8.5
28,8.9
29,8.6
30,8.6
31,8.5
32,8.5
33,8.3
34,8.8
35,8.8
36,8.7
37,8.5
38,8.6
39,8.5
40,9.1
41,8.5
42,9.0
43,8.9
44,9.4
45,8.7
46,8.5
47,8.5
48,8.4
49,8.5
50,9.0
51,8.9
52,9.0
53,9.3
54,9.6
55,9.0
56,8.5
57,8.9
58,8.7
59,9.3
60,9.1
61,9.0
62,8.7
63,9.0
64,9.1
65,8.7
66,8.8
67,9.4
68,9.2
69,9.0
70,9.8
71,9.4
72,9.1
73,8.9
74,9.4
75,9.6
76,9.4
77,8.3
78,8.3
79,8.5
80,8.4
81,8.3
82,8.1
83,8.2
84,8.7
85,9.2
86,9.6
87,8.4
88,8.8
89,8.5
90,8.4
91,8.4
92,9.6
93,8.7
94,8.3
95,7.9
96,8.1
97,7.9
98,8.4
99,8.5
100,8.7
101,8.0
102,9.0
103,8.2
104,7.7
105,8.6
106,8.4
107,8.5
108,8.0
109,7.3
110,7.5
111,7.7
112,7.7
113,7.8
114,8.1
115,7.8
116,7.4
117,7.6
118,8.9
119,7.8
120,7.8
121,7.8
122,8.3
123,8.1
124,8.9
125,8.2
126,7.9
127,7.7
128,8.0
129,8.6
130,7.8
131,7.5
132,8.9
133,9.3
