episode,score
1,8.3
2,8.3
3,7.8
4,8.2
5,8.0
6,8.5
7,8.2
8,8.3
9,8.1
10,8.1
11,8.3
12,8.0
13,8.4
14,8.1
15,8.3
16,8.4
17,8.6
18,8.3
19,8.1
20,8.8
21,8.0
22,8.4
23,8.3
24,8.7
25,8.2
26,8.2
27,7.8
28,9.2
29,8.0
30,8.1
31,8.1
32,8.9
33,8.2
34,8.2
35,8.2
36,8.3
37,8.0
38,8.6
39,8.3
40,8.3
41,8.4
42,7.9
43,8.2
44,8.1
45,8.3
46,7.6
47,7.9
48,9.0
49,8.4
50,8.6
51,8.4
52,8.4
53,8.1
54,8.5
55,8.1
56,8.4
57,8.5
58,8.5
59,8.0
60,8.2
61,8.2
62,9.1
63,8.7
64,8.8
65,8.5
66,8.1
67,8.1
68,7.8
69,8.1
70,8.1
71,8.2
72,8.5
73,7.8
74,8.7
75,7.7
76,8.3
77,7.9
78,7.8
79,8.0
80,8.0
81,8.2
82,8.2
83,8.3
84,8.3
85,7.9
86,8.1
87,8.6
88,8.1
89,8.1
90,7.8
91,8.0
92,8.1
93,7.7
94,8.6
95,7.7
96,8.2
97,8.0
98,7.4
99,7.8
100,8.2
101,8.3
102,7.8
103,7.7
104,7.9
105,8.3
106,8.3
107,8.2
108,8.6
109,7.8
110,8.2
111,8.6
112,7.7
113,7.7
114,8.1
115,8.3
116,8.1
117,7.9
118,7.7
119,8.5
120,8.3
121,8.1
122,7.9
123,8.5
124,8.5
125,7.9
126,8.3
127,8.0
128,7.7
129,7.8
130,8.1
131,8.1
132,8.1
133,8.0
134,8.1
135,7.8
136,7.9
137,8.1
138,8.8
139,8.0
140,7.7
141,8.5
142,7.8
143,7.7
144,8.9
145,7.7
146,8.2
147,7.5
148,7.6
149,8.0
150,8.3
151,7.7
152,7.5
153,7.5
154,8.2
155,8.1
156,7.6
157,7.8
158,7.9
159,8.1
160,7.2
161,7.6
162,7.1
163,7.2
164,7.5
165,7.2
166,7.8
167,8.0
168,7.5
169,7.0
170,7.4
171,7.3
172,7.5
173,8.1
174,8.1
175,7.9
176,7.6
177,7.4
178,7.6
179,7.5
180,7.1
181,7.3
182,7.5
183,8.0
184,6.8
185,7.4
186,7.8
187,7.5
188,7.5
189,7.2
190,8.0
191,8.0
192,7.9
193,8.4
194,9.1
195,7.5
196,7.5
197,7.6
198,7.6
199,7.5
200,7.5
201,7.6
202,7.5
203,7.5
204,7.5
205,7.5
206,7.4
207,7.8
208,7.7
209,7.8
210,7.4
211,7.3
212,8.0
213,7.5
214,7.4
215,8.0
216,8.1
217,7.5
218,7.4
219,7.6
220,7.3
221,7.0
222,7.3
223,7.3
224,7.2
225,7.5
226,7.2
227,7.1
228,7.2
229,7.3
230,6.8
231,7.1
232,8.6
233,7.6
234,7.3
235,7.0
236,7.1
237,7.4
238,7.2
239,7.5
240,7.2
241,7.8
242,7.4
243,7.1
244,7.5
245,7.3
246,7.3
247,7.5
248,7.2
249,6.9
250,7.2
251,7.3
252,7.2
253,7.5
254,7.3
255,7.7
256,9.0
257,7.2
258,7.7
259,7.2
260,7.1
261,6.8
262,8.3
263,7.4
264,7.4
265,7.3
266,7.5
267,7.3
268,7.2
269,7.1
270,7.1
271,7.5
272,8.0
273,7.1
274,7.2
275,7.0
276,7.2
277,7.3
278,8.0
279,9.2
280,9.6
