episode,score
1,7.5
2,8.3
3,7.8
4,8.1
5,8.4
6,7.7
7,8.7
8,8.2
9,8.4
10,8.4
11,8.1
12,8.1
13,8.6
14,8.2
15,8.4
16,8.9
17,8.6
18,9.1
19,8.3
20,7.8
21,8.1
22,8.3
23,8.5
24,8.3
25,8.1
26,8.4
27,8.7
28,9.4
29,9.0
30,8.2
31,8.5
32,8.0
33,8.1
34,7.9
35,8.6
36,8.7
37,8.3
38,8.8
39,8.6
40,8.6
41,8.8
42,8.1
43,8.2
44,8.9
45,8.5
46,9.0
47,8.8
48,8.7
49,8.8
50,9.2
51,9.3
52,8.8
53,8.3
54,8.4
55,8.7
56,8.8
57,8.5
58,8.2
59,8.7
60,9.5
61,8.0
62,8.6
63,8.3
64,7.8
65,9.3
66,8.8
67,8.3
68,8.0
69,8.1
70,8.0
71,8.5
72,8.2
73,8.6
74,8.8
75,8.4
76,8.7
77,8.0
78,9.7
79,8.2
80,8.1
81,8.0
82,8.7
83,8.3
84,8.4
85,8.3
86,8.7
87,8.7
88,9.3
89,8.3
90,8.7
91,9.0
92,8.8
93,8.1
94,8.0
95,9.4
96,9.4
97,7.6
98,8.6
99,8.2
100,8.1
101,8.7
102,8.2
103,8.3
104,8.5
105,6.8
106,7.6
107,8.1
108,8.4
109,8.5
110,7.7
111,7.7
112,8.6
113,7.8
114,7.9
115,8.1
116,7.7
117,8.0
118,8.4
119,8.2
120,8.2
121,7.8
122,7.8
123,8.2
124,7.4
125,7.9
126,7.7
127,8.2
128,9.0
129,8.3
130,7.6
131,8.5
132,8.4
133,9.4
134,7.5
135,9.4
136,7.8
137,9.0
138,9.8
139,7.6
140,8.7
141,8.8
142,8.1
143,8.1
144,7.3
145,8.1
146,7.5
147,7.6
148,7.7
149,6.8
150,7.7
151,7.9
152,7.9
153,8.0
154,7.4
155,7.7
156,7.8
157,8.1
158,7.8
159,7.8
160,6.5
161,7.0
162,7.0
163,7.0
164,7.6
165,7.7
166,7.6
167,7.1
168,7.3
169,7.8
170,7.0
171,7.7
172,7.6
173,7.8
174,8.4
175,7.6
176,7.8
177,7.9
178,7.5
179,7.4
180,7.3
181,8.1
182,7.5
183,8.0
184,8.0
185,8.0
186,9.0
187,9.5
188,9.8
