episode,score
1,9.2
2,8.7
3,8.3
4,8.6
5,8.3
6,8.7
7,8.6
8,8.0
9,8.4
10,7.6
11,8.1
12,7.7
13,9.3
14,8.3
15,8.3
16,8.5
17,8.6
18,9.1
19,9.2
20,8.9
21,8.6
22,8.2
23,9.3
24,8.2
25,8.3
26,8.6
27,9.0
28,8.2
29,8.7
30,7.8
31,8.8
32,7.8
33,8.0
34,8.9
35,8.2
36,8.2
37,8.4
38,8.1
39,8.0
40,8.9
41,7.8
42,7.8
43,9.7
44,8.1
45,8.2
46,8.3
47,7.3
48,8.0
49,9.2
50,8.5
51,9.2
52,9.6
53,8.5
54,9.0
55,7.5
56,8.0
57,8.1
58,8.0
59,8.8
60,8.0
61,7.6
62,8.5
63,8.7
64,8.0
65,9.0
66,8.5
67,9.3
68,8.7
69,9.3
70,9.3
71,8.2
72,7.3
73,7.7
74,8.1
75,8.1
76,9.7
77,8.4
78,8.2
79,9.0
80,8.7
81,8.1
82,8.0
83,6.5
84,9.1
85,7.2
86,7.6
87,7.6
88,6.8
89,5.6
90,8.0
91,8.7
92,8.1
93,7.3
94,7.3
95,7.0
96,7.6
97,6.6
98,7.6
99,7.6
100,6.9
101,6.6
102,6.3
103,6.8
104,7.3
105,6.1
106,6.5
107,6.7
108,6.8
109,7.7
110,7.1
111,8.1
112,7.3
113,7.3
114,7.8
115,7.5
116,7.4
117,7.8
118,7.8
119,8.1
120,9.2
121,7.9
122,7.2
123,8.9
124,8.0
125,8.0
126,7.9
127,7.9
128,8.4
129,8.1
130,9.4
131,7.7
132,7.6
133,7.1
134,7.7
135,7.3
136,8.3
137,7.9
138,7.9
139,7.3
140,7.5
141,8.2
142,8.4
143,9.2
144,8.0
145,8.1
146,7.7
